-0.5	-4.5E-14	1.65E-12	5E-15
-0.495	-7E-15	4.75E-12	2E-14
-0.49	1.7E-14	9.3E-12	1.6E-14
-0.485	-3.7E-14	7.15E-12	7.3E-14
-0.48	-5E-15	-1.8E-12	6.9E-14
-0.475	-6E-15	3.7E-12	6.5E-14
-0.47	1.3E-14	-1.17E-11	3.7E-14
-0.465	-3.4E-14	-1.825E-11	3.3E-14
-0.46	-1.6E-14	-4.75E-12	-1.4E-14
-0.455	-8.1E-14	-1.33E-11	3.3E-14
-0.45	-9E-15	-1.2E-12	-5E-15
-0.445	-2.9E-14	2E-12	1.5E-14
-0.44	-3.2E-14	-3.45E-12	6.5E-14
-0.435	-4.1E-14	4.4E-12	4.5E-14
-0.43	-7.3E-14	-1.55E-12	8.2E-14
-0.425	-1.9E-14	5.05E-12	4.1E-14
-0.42	-4E-14	2.95E-12	3.6E-14
-0.415	-2.1E-14	-1.49E-11	4E-15
-0.41	-6E-14	1.75E-11	3.5E-14
-0.405	-5.8E-14	-8.25E-12	-2.2E-14
-0.4	-7.2E-14	9.9E-12	5.6E-14
-0.395	2.8E-14	6.9E-12	3.7E-14
-0.39	2.4E-14	-1E-13	5.9E-14
-0.385	-4.8E-14	1.65E-12	3E-14
-0.38	9E-15	3.75E-12	3.2E-14
-0.375	-5.8E-14	2.9E-12	2.9E-14
-0.37	2.9E-14	1.215E-11	7E-15
-0.365	-4.9E-14	2.14E-11	4.2E-14
-0.36	-6.7E-14	1.55E-12	1.9E-14
-0.355	-6.5E-14	1.7E-12	3.8E-14
-0.35	-1.4E-14	-2.5E-13	3.9E-14
-0.345	-1.2E-14	7.25E-12	1.1E-14
-0.34	5E-15	-2.85E-12	3.2E-14
-0.335	1.8E-14	1.14E-11	7.4E-14
-0.33	-5.7E-14	6.75E-12	5E-14
-0.325	3.4E-14	2.12E-11	5.5E-14
-0.32	-5.1E-14	-4.15E-12	2.3E-14
-0.315	-4.1E-14	-1.6E-12	-4.7E-14
-0.31	-6.5E-14	-1.5E-11	3E-15
-0.305	-5.9E-14	-8.45E-12	4.5E-14
-0.3	-4.9E-14	-4.6E-12	3.9E-14
-0.295	-5E-15	-3.15E-12	4.4E-14
-0.29	-2.1E-14	-1.8E-12	4.6E-14
-0.285	-5.4E-14	1E-11	2.1E-14
-0.28	1E-15	-1.28E-11	5.1E-14
-0.275	-6.9E-14	-6.9E-12	1E-14
-0.27	5E-15	4.7E-12	-3.1E-14
-0.265	-5.1E-14	1.28E-11	-2E-15
-0.26	-3.3E-14	8.95E-12	9E-15
-0.255	-6E-15	2.45E-12	3.6E-14
-0.25	-7E-14	2.9E-12	3.1E-14
-0.245	-3.2E-14	-5.95E-12	8E-14
-0.24	-4.9E-14	1E-13	3.4E-14
-0.235	-1.1E-14	-1.12E-11	1.5E-14
-0.23	-4.3E-14	-1.22E-11	2.8E-14
-0.225	-4E-15	4.7E-12	4.4E-14
-0.22	-7.1E-14	2.055E-11	6.8E-14
-0.215	-3.7E-14	-8.7E-12	3.1E-14
-0.21	-4E-14	2.8E-12	1.5E-14
-0.205	-9.4E-14	-2.15E-12	1.9E-14
-0.2	-3E-15	-3.65E-12	4.4E-14
-0.195	-6.1E-14	-4.45E-12	1.2E-14
-0.19	-4.2E-14	5.3E-12	-1E-15
-0.185	-8.4E-14	6.35E-12	3.1E-14
-0.18	-4.6E-14	-7.95E-12	-2.7E-14
